name,brand,barcode,proteins,carbohydrates,fats,calories,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
Agar Agar,,,2.4,0.0,0.2,160,n.d.,n.d.,n.d.,,,n.d.,0.3,74.1,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,100,52,660,,1.5,130.0,4.5,34,n.d.,n.d.,,
Agave syrup,,,0.2,73.1,0.0,293,0,n.d.,n.d.,,,n.d.,0.0,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,n.d.,,n.d.,4.0,n.d.,n.d.,n.d.,n.d.,,
Almond,,,25.6,7.8,52.1,624,4.1,31.4,11.4,,,6.6,0.0,10.6,0,,0,0.15,0.94,1.88,0.48,0.13,,55.9,0,0.5,0,25.44,,,240,740,270,,3.3,1.1,3.3,510,2.2,0.2,,
"Almond drink, plain",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0,,0,0.01,0.02,0.16,0.02,0,,1.9,0,0,0,0.86,,,9.5,34,12,,0.1,36.0,0.1,16,0.2,0.4,,
"Almond drink, plain, with calcium and vitamin fortified",,,1.1,1.3,2.6,33,0.2,1.6,0.5,,,1.3,0.1,0.3,0,,0,0.01,0.21,0.16,0.02,0,,1.9,0.38,0,0.8,1.8,,,9.5,34,120,,0.1,36.0,0.1,43,0.2,0.4,,
"Almond, dry roasted, salted",,,25.4,10.1,52.5,637,4.1,33.1,13,,,4.9,0.6,10.9,0,,0,0.08,1.2,3.64,0.32,0.14,,55,0,0,0,23.9,,,280,710,270,,3.3,230.0,3.7,470,2,2.4,,
"Almond, roasted, salted",,,25.6,7.2,55.2,649,4.2,34.8,13.5,,,4.6,0.8,10.5,0,,0,0.09,0.78,3.67,0.23,0.12,,27,0,0,0,25.97,,,270,670,240,,3.1,330.0,3.3,470,2,2.4,,
"Amaranth, seed, cooked (without addition of fat and salt)",,,5.0,18.1,2.1,119,0.4,0.5,0.8,,,0.5,0.0,3.5,0,,0,0.02,0.06,0.34,0.27,0.11,,16.2,0,1,0,0.4,,,84,150,58,,1.2,1.9,3,180,n.d.,0.8,,
"Amaranth, seed, raw",,,15.8,56.8,7.0,376,1.5,1.7,2.8,,,1.7,0.0,11.0,0,,0,0.08,0.19,1.2,0.95,0.53,,64.3,0,4.2,0,1.19,,,250,480,160,,3.7,4.0,9,560,n.d.,2.5,,
Amaretti (Almond cookie),,,8.8,76.7,13.0,464,1,7.8,2.8,,,76.4,0.1,2.6,0,,0,0.04,0.31,0.48,0.17,0.04,,15,0.07,0.1,0,6.33,,,62,220,69,,0.8,42.0,0.9,130,3.2,1.7,,
Anchovis paste,,,19.8,0.2,21.3,272,4,13.8,2.1,,,0.1,19.0,0.0,57,,11,0.03,0.19,2.93,0.47,0.28,,12,15.68,0.4,1.3,5.19,,,170,190,220,,1.3,7720.0,2.1,210,n.d.,25,,
"Appenzeller, at least 15% fidm",,,33.1,0.0,11.4,235,6.8,2.7,0.5,,,0,2.0,0.0,34,,141,0.04,0.5,0.1,0.54,0.07,,15,1.3,0,0.3,0.36,,,36,120,1090,,2.5,810.0,0.2,730,n.d.,35,,
"Appenzeller, at least 45% fidm",,,24.3,0.0,31.7,384,19,7.4,1.5,,,0,1.6,0.0,95,,382,0.04,0.36,0.1,0.33,0.07,,15,1.06,0,0.5,0.95,,,29,82,740,,4,620.0,0.3,540,n.d.,8.4,,
Apple juice,,,0.2,11.9,0.1,50,0,0,0,,,11.3,0.0,0.2,0,,1,0.01,0,0.04,0.05,0.04,,7,0,7.4,0,0,,,4.7,120,4.5,,0,14.0,0.3,6.9,0.1,1,,
"Apple pie, home-made, baked (with cake dough)",,,2.6,18.5,6.6,147,3,2.5,0.8,,,9.4,0.2,1.3,18,,11,0.03,0.04,0.1,0.21,0.05,,5.3,0.08,3.9,0.1,0.67,,,10,120,18,,0.3,89.0,0.4,43,1.8,3.4,,
"Apple pie, home-made, baked (with puff pastry)",,,2.4,17.8,6.8,145,3,2.6,0.8,,,9.4,0.3,1.3,18,,11,0.03,0.04,0.1,0.2,0.04,,4.8,0.08,3.9,0.1,0.71,,,7.5,110,17,,0.2,110.0,0.2,35,1.8,3.4,,
"Apple, fresh",,,0.3,11.6,0.3,52,0.1,0,0.2,,,11.5,0.0,1.4,0,,4,0.01,0.01,0.08,0.08,0.04,,6,0,7.2,0,0.09,,,6.5,120,5.3,,0.1,1.5,0.1,14,0.5,0.8,,
"Apple, peeled, dried",,,1.4,55.4,1.6,264,0.7,0.1,0.9,,,50,0.0,11.2,0,,1,0.04,0.03,0.48,0.28,0.12,,14,0,1.8,0,1.57,,,23,620,30,,0.2,10.0,1.2,50,0.5,4.1,,
"Apple, stewed, drained (without addition of sugar)",,,0.3,12.2,0.3,56,0.1,0,0.2,,,12.1,0.0,1.5,0,,4,0.01,0.01,0.09,0.09,0.04,,4,0,3.8,0,0.12,,,6.8,94,6.7,,0.1,1.2,0.1,15,0.7,1.1,,
"Applesauce, sweetened, canned",,,0.3,20.5,0.3,89,0.1,0,0.1,,,20.4,0.0,1.9,0,,n.d.,0.02,0.02,0.08,0.08,0.04,,5.9,0,2.3,0,0.34,,,3.6,97,4.4,,0.1,3.6,0.2,8.1,n.d.,0.7,,
"Applesauce, unsweetened, canned",,,0.3,11.7,0.3,55,0.1,0,0.1,,,11.6,0.0,2.1,0,,n.d.,0.02,0.02,0.09,0.09,0.05,,6.5,0,2.5,0,0.43,,,4,110,4.8,,0.1,4.0,0.2,9,n.d.,0.8,,
"Apricot pie, home-made, baked (with cake dough)",,,3.0,16.8,6.5,141,2.9,2.5,0.7,,,6.2,0.2,1.5,18,,219,0.04,0.05,0.28,0.28,0.06,,5.1,0.08,2,0.1,0.94,,,12,200,24,,0.3,88.0,0.4,48,1.6,3.2,,
"Apricot pie, home-made, baked (with puff pastry)",,,2.8,16.1,6.7,139,3,2.6,0.7,,,6.2,0.3,1.5,18,,225,0.04,0.04,0.27,0.27,0.05,,5.2,0.08,2,0.1,0.98,,,8.8,200,24,,0.2,110.0,0.3,40,1.5,3.2,,
"Apricot, dried",,,2.9,59.1,0.5,239,0.2,0.1,0.2,,,34.3,0.0,8.3,0,,421,0.01,0.04,2.69,0.58,0.15,,8.9,0,0.2,0,3.57,,,50,1370,82,,0.4,11.0,1.4,110,0.4,2.7,,
"Apricot, in syrup, canned, drained",,,0.9,13.7,0.1,62,0,0.1,0,,,13.3,0.0,1.4,0,,154,0.02,0,0.11,0.12,0.02,,6.9,0,2.2,0,0.45,,,4.9,140,18,,0.1,9.7,0.1,11,0.2,0.5,,
"Apricot, raw",,,0.8,9.0,0.1,44,0,0.1,0,,,6.7,0.0,1.7,0,,384,0.02,0.02,0.38,0.18,0.06,,5.6,0,3.6,0,0.5,,,8.4,260,15,,0.1,0.0,0.2,22,0.1,0.5,,
"Apricot, stewed, drained (without addition of sugar) ",,,1.0,9.0,0.2,45,0,0.1,0,,,6.7,0.0,1.7,0,,360,0.02,0.02,0.38,0.18,0.05,,3.5,0,1.8,0,0.63,,,8.4,200,18,,0.1,0.0,0.2,22,0.1,0.6,,
"Apricot, with sweetener, canned, drained",,,0.9,8.2,0.1,40,0,0.1,0,,,6.1,0.0,1.4,0,,154,0.02,0.02,0.34,0.16,0.05,,3.2,0,1.6,0,0.57,,,7.6,180,16,,0.1,0.0,0.2,20,0.1,0.6,,
"Artichoke, heart, canned, drained",,,1.8,2.3,0.5,27,0,0,0,,,1.2,0.8,3.2,0,,4,0.02,0.03,0.39,0.13,0.03,,54.3,0,12.2,0.3,1.12,,,18,150,25,,0.3,310.0,0.4,34,20,20,,
"Asparagus, raw",,,2.2,3.3,0.2,27,0,0,0,,,3.2,0.0,1.7,0,,26,0.12,0.13,1.1,0.19,0.07,,76.3,0,14.9,0,1.13,,,12,220,16,,0.5,1.6,0.4,49,1.1,7,,
"Asparagus, steamed (without addition of salt)",,,2.1,3.1,0.2,26,0,0,0,,,3,0.0,1.6,0,,23,0.1,0.12,0.88,0.16,0.06,,45.8,0,11.2,0,1.13,,,10,190,15,,0.4,1.4,0.3,46,1,6.7,,
"Avocado, fresh",,,1.6,1.2,15.1,158,2.8,7.7,1.7,,,1.1,0.0,5.5,0,,17,0.05,0.11,1.22,0.94,0.14,,57.9,0,3.7,0,1.94,,,29,430,15,,0.5,2.4,0.5,45,0,0,,
Bacon for cooking,,,17.8,0.6,27.6,322,10.6,12.9,2.2,,,0.6,2.8,0.0,49,,6,0.62,0.14,4.08,0.6,0.22,,3,0.35,24.3,0.6,0.29,,,16,270,10,,2,1130.0,0.4,150,11,1.1,,
"Bacon, raw",,,22.1,0.6,34.3,400,13.1,15.5,2.3,,,0.6,3.8,0.0,62,,4,0.56,0.14,6.9,1.1,0.3,,0,0.5,8.3,1.7,0,,,22,400,0,,2.3,1520.0,0,210,9.6,0,,
Baguette,,,9.0,51.2,0.9,255,0.2,0.1,0.5,,,0.5,1.6,2.9,0,,0,0.12,0.03,0.46,0.26,0.09,,8.8,0.01,0,0,0.36,,,22,140,10,,0.7,660.0,0.9,81,2.7,1,,
Balsamic vinegar,,,0.7,25.8,0.6,128,0,0,0,,,19.1,0.1,0.5,0,,1,0.02,0.01,0.1,0.07,1.71,,5.5,0,0.5,0.3,0,,,12,160,18,,0.1,27.0,1,24,20,20,,
"Bami Goreng, prepared",,,13.5,13.1,2.4,130,0.3,1.3,0.5,,,1.3,1.0,0.9,44,,44,0.12,0.08,3.6,0.32,0.14,,4.6,0.05,11.6,0.3,0.41,,,18,190,9.3,,0.7,400.0,0.7,120,n.d.,1.6,,
"Banana, dried",,,3.0,60.2,1.0,273,0.4,0.1,0.2,,,43.7,0.0,5.5,0,,17,0.1,0.18,2,0.54,0.81,,33.3,0,4,0,0.6,,,90,1150,20,,0.6,8.0,1.3,75,n.d.,8.1,,
"Banana, dried (banana chips)",,,3.9,80.7,1.8,370,0.7,0.2,0.3,,,65.3,0.0,7.6,0,,60,0.18,0.24,2.8,0,0,,0,0,7,0,0,,,110,1490,22,,0,3.0,1.2,74,n.d.,0,,
"Banana, raw",,,1.1,19.7,0.1,89,0,0,0,,,15.6,0.0,2.7,0,,14,0.05,0.03,0.6,0.23,0.25,,25.6,0,11.9,0,0,,,28,320,5.1,,0.1,0.0,0.2,29,0.5,3,,
Barley flakes,,,8.5,66.1,1.5,333,0.3,0.1,0.7,,,2.2,0.0,10.3,0,,0,0.2,0.08,3.1,0.49,0.29,,19,0,0,0,0.25,,,66,160,16,,1.3,3.0,2,190,2.8,1,,
"Barley risotto, cooked",,,3.5,24.6,2.2,135,0.3,1.3,0.3,,,1.3,0.8,1.7,0,,1,0.05,0.02,0.8,0.06,0.05,,6.7,0,0.3,0,0.4,,,23,59,12,,0.7,340.0,1,71,n.d.,0.7,,
"Basil, raw",,,3.1,5.1,0.8,46,0.1,0,0.4,,,5,0.0,3.1,0,,811,0.08,0.31,1.1,0.2,0.18,,50,0,26,0,1,,,11,300,250,,0.7,9.0,5.5,37,n.d.,0.9,,
Basler Leckerli (Swiss biscuit from Basel),,,7.5,75.0,7.9,412,0.7,4.5,1.8,,,52,0.0,2.8,0,,2,0.06,0.15,0.44,0.18,0.11,,11.4,0,1.1,0,3.82,,,40,180,51,,0.7,2.7,1,98,1.1,0.4,,
"Bean, green, dried",,,20.2,42.1,2.0,318,0.4,0.1,1.1,,,22.2,0.1,25.3,0,,229,0.45,0.71,4.1,2.19,1.33,,186,0,67.6,0,1,,,230,2510,540,,2.5,21.0,7.2,400,n.d.,25,,
"Bean, green, raw",,,1.9,4.1,0.2,32,0.1,0,0.1,,,3.3,0.0,3.0,0,,57,0.12,0.09,0.8,0.13,0.09,,53.3,0,10.8,0,0.36,,,25,260,52,,0.4,3.9,1,38,1,2.5,,
"Béchamel sauce, home-made",,,4.2,10.1,9.9,147,6,2.3,0.5,,,4.8,0.7,0.2,31,,98,0.03,0.22,0.13,0.33,0.03,,2.7,0.15,0.7,0.2,0.27,,,12,170,120,,0.4,300.0,0.1,99,1.3,9.9,,
"Beef (average excluding offal, chop), raw",,,21.4,0.0,5.4,134,2.4,2.3,0.3,,,0,0.1,0.0,53,,7,0.07,0.15,4.85,0.68,0.31,,5.9,2.85,0,0.2,0.44,,,20,330,4.5,,4.5,45.0,1.8,180,n.d.,1.6,,
"Beef ragout with sauce, prepared",,,11.6,3.0,2.8,85,0.5,1.9,0.4,,,1.2,0.8,0.6,31,,123,0.01,0.06,n.d.,0.35,0.12,,8.5,0.48,0.7,0.2,0.61,,,8.7,140,8.8,,2.2,300.0,0.8,91,n.d.,2.3,,
"Beef, boiling meat lean, cooked (without addition of fat and salt)",,,31.7,0.0,7.1,190,3.3,2.8,0.6,,,0,0.1,0.0,98,,9,0.02,0.15,n.d.,0.62,0.39,,6.5,1.4,0,0.6,0.33,,,19,280,5.9,,7.6,48.0,2.8,200,n.d.,5,,
"Beef, boiling meat with fat, cooked (without addition of fat and salt)",,,26.6,0.0,18.9,276,7.9,8.7,1.2,,,0,0.1,0.0,80,,8,0.02,0.16,5.3,0.67,0.32,,5.9,1.27,0,0.5,0.3,,,16,230,5,,5.3,41.0,1.8,160,n.d.,4.5,,
"Beef, boiling meat, lean, raw",,,20.7,0.0,5.5,132,2.5,2.2,0.5,,,0,0.1,0.0,59,,7,0.04,0.13,n.d.,0.74,0.55,,6,1.4,0,0.5,0.26,,,18,320,4.4,,4.9,57.0,1.7,180,n.d.,3,,
"Beef, boiling meat, with fat, raw",,,19.5,0.0,16.6,227,7,7.6,1,,,0,0.2,0.0,53,,7,0.04,0.13,7,0.74,0.53,,6,1.4,0,0.5,0.26,,,18,300,4.1,,3.5,60.0,1.2,160,n.d.,3,,
"Beef, breast, cooked (without addition of fat and salt)",,,28.3,0.0,15.6,254,6.7,7.4,0.6,,,0,0.1,0.0,100,,8,0.06,0.24,3.91,0.53,0.11,,3.3,4.6,0,0,0.53,,,18,230,5.3,,8,36.0,3.6,210,n.d.,0.5,,
"Beef, breast, raw",,,18.9,0.0,12.5,188,5.4,5.9,0.5,,,0,0.1,0.0,60,,7,0.09,0.18,4.7,0.53,0.17,,3,4.6,0,0,0.43,,,18,270,4,,4.8,48.0,2.2,190,n.d.,0.3,,
"Beef, chopped, raw",,,22.2,0.0,1.5,102,0.6,0.6,0.3,,,0,0.1,0.0,56,,7,0.08,0.13,5.03,0.74,0.26,,6,1.18,0,0.5,0.26,,,20,360,4.2,,3.5,44.0,1.4,190,7.6,3,,
"Beef, entrcôte, steak, pan fried ""medium"" (without addition of fat and salt)",,,30.2,0.0,4.6,162,2.2,2.3,0.4,,,0,0.1,0.0,63,,5,0.03,0.12,5.48,0.76,0.45,,7,1.34,0,0.4,0.68,,,23,290,6,,4.7,49.0,1.7,210,12,4.1,,
"Beef, entrecôte, steak, raw",,,23.2,0.0,4.5,133,2.2,2.2,0.4,,,0,0.1,0.0,46,,7,0.05,0.1,5,0.69,0.73,,6,1.4,0,0.5,0.9,,,20,360,4.9,,3.4,42.0,1.3,180,9,3,,
"Beef, eye of round, raw",,,22.4,0.0,1.8,106,0.8,0.8,0.3,,,0,0.1,0.0,52,,7,0.02,0.12,n.d.,0.72,0.63,,6,1.4,0,0.5,0.9,,,20,380,5.1,,2.8,39.0,1,190,8,3,,
"Beef, Filet, fried in oven ""medium"" (without addition of fat and salt)",,,27.7,0.0,2.0,128,0.9,0.9,0.1,,,0,0.1,0.0,47,,6,0.08,0.15,4.91,1.07,0.13,,11.3,2,0,0,0.18,,,25,330,3.6,,5.9,48.0,2.9,190,n.d.,0.1,,
"Beef, filet, raw",,,21.9,0.0,2.0,105,0.9,0.9,0.1,,,0,0.1,0.0,35,,7,0.1,0.13,4.6,1,0.19,,10,2,0,0,0.24,,,22,340,3,,4.4,42.0,2.3,160,n.d.,0.1,,
"Beef, liver, raw",,,20.5,5.3,3.9,138,1.4,0.6,0.8,,,0,0.3,0.0,354,,4259,0.28,2.88,14.7,7.3,0.83,,220,65,23,1.7,0.75,,,17,290,7,,4.8,120.0,7,360,n.d.,13,,
"Beef, minced, pan fried (without addition of fat and salt)",,,32.6,0.0,8.9,211,3.8,4,0.6,,,0,0.2,0.0,89,,7,0.05,0.16,4.9,0.39,0.32,,13.5,1.57,0,0.4,0.23,,,23,290,7.1,,7,82.0,3,220,n.d.,4.8,,
"Beef, minced, raw",,,21.6,0.0,7.5,154,3.2,3.4,0.5,,,0,0.2,0.0,56,,8,0.06,0.12,3.86,0.31,0.45,,10,1.41,0,0.5,0.26,,,17,310,5,,4.4,61.0,2,160,n.d.,3,,
"Beef, prime rib, raw",,,21.1,0.0,9.0,165,4,3.3,0.7,,,0,0.1,0.0,58,,7,0.04,0.13,n.d.,0.72,0.41,,6,1.4,0,0.5,0.26,,,18,330,4.4,,5,45.0,1.5,170,11,3,,
"Beef, ragout (goulash), raw",,,19.3,0.0,8.1,150,4,3.3,0.3,,,0,0.1,0.0,60,,7,0.09,0.19,5.2,0.57,0.18,,3,4.8,0,0,0.46,,,18,300,6.8,,5.7,45.0,2.1,160,n.d.,0.2,,
"Beef, ragout, raw",,,21.2,0.0,1.3,97,0.6,0.6,0.3,,,0,0.1,0.0,54,,7,0.01,0.12,n.d.,0.74,0.42,,6,1.4,0,0.5,0.26,,,18,350,3.9,,3.7,49.0,1.2,180,6,3,,
"Beef, rib, raw",,,21.7,0.5,7.3,155,2.6,3.4,0.8,,,0,6.2,0.0,51,,5,0.66,0.16,2.2,0.38,0.47,,2,1,0,0,0.2,,,54,240,32,,1.1,2470.0,1.5,98,n.d.,3.2,,
"Beef, round, schnitzel, raw",,,22.6,0.0,2.3,111,1.1,0.9,0.1,,,0,0.1,0.0,55,,7,0.09,0.17,4.5,0.59,0,,9.9,2.2,0,0,0,,,23,360,3.8,,3.9,50.0,2.2,200,6.1,3,,
"Beef, shoulder (roast), raw",,,21.6,0.0,3.5,117,1.2,1.4,0.3,,,0,0.1,0.0,61,,7,0.09,0.19,5.1,0.6,0.19,,3,5,0,0,0.31,,,19,300,4,,5.8,50.0,1.8,210,n.d.,0.1,,
"Beef, shoulder, medium roast in oven (without addition of fat and salt)",,,28.5,0.0,3.6,146,1.3,1.5,0.3,,,0,0.1,0.0,85,,6,0.07,0.23,5.67,0.67,0.14,,3.5,5.21,0,0,0.24,,,22,300,5,,8.1,59.0,2.4,260,n.d.,0.1,,
"Beef, shoulder, rare roast in oven (without addition of fat and salt)",,,26.3,0.0,3.3,135,1.2,1.4,0.3,,,0,0.1,0.0,78,,6,0.07,0.21,5.23,0.62,0.13,,3.3,4.81,0,0,0.22,,,21,280,4.6,,7.4,54.0,2.2,240,n.d.,0.1,,
"Beef, shoulder, well done roast in oven (without addition of fat and salt)",,,33.1,0.0,4.2,170,1.5,1.7,0.3,,,0,0.2,0.0,98,,7,0.08,0.27,6.58,0.77,0.16,,4.1,6.05,0,0,0.28,,,26,350,5.8,,9.4,69.0,2.8,300,n.d.,0.2,,
"Beef, tongue, raw",,,16.0,3.7,13.0,196,4.7,6,1.1,,,0,0.2,0.0,108,,16,0.13,0.29,4.6,2,0.13,,7,5,3,0,0.26,,,18,260,10,,2.9,80.0,3,160,n.d.,2.3,,
Beer shandy (average),,,0.2,7.4,0.0,39,0,0,0,,,7.1,0.0,0.0,0,,0,0,0.02,0.27,0.01,0.02,,2.1,0.01,0,0,0,,,11,24,4.5,,0,2.6,0.1,7,n.d.,1.7,,
"Beer, five grain",,,0.6,2.0,0.0,40,0,0,0,,,2,0.0,0.2,0,,0,0,0.04,0.77,0.09,0.09,,5,0.1,0,0,0,,,11,43,3.6,,0,1.4,0,16,n.d.,0,,
"Beer, lager",,,0.5,3.1,0.0,42,0,0,0,,,2.2,0.0,0.0,0,,0,0,0.03,0.77,0.03,0.06,,6.3,0.02,0,0,0,,,9.6,55,3.5,,0,1.9,0,19,n.d.,1.5,,
"Beer, non-alcoholic",,,0.4,4.9,0.0,23,0,0,0,,,2.6,0.0,0.0,0,,0,0.01,0.01,0.65,0.08,0.04,,5,0.02,0,0,0,,,6.2,34,4.8,,0,1.5,0,11,n.d.,1,,
"Beetroot, raw",,,1.5,8.4,0.1,46,0,0,0.1,,,8.4,0.1,2.5,0,,1,0.02,0.04,0.23,0.15,0.04,,83,0,5.5,0,0.05,,,21,430,16,,0.3,49.0,0.3,23,0.2,0.4,,
"Beetroot, steamed (without addition of salt)",,,1.8,10.0,0.1,54,0,0,0.1,,,10,0.1,3.0,0,,1,0.02,0.05,0.23,0.16,0.04,,62.3,0,5.5,0,0.06,,,22,450,19,,0.3,49.0,0.3,28,0.2,0.5,,
"Bell pepper, green, raw",,,0.8,2.6,0.3,20,0.1,0,0.2,,,2.5,0.0,2.0,0,,42,0.03,0.01,0.1,0.13,0.28,,27.6,0,126.6,0,0.7,,,6,160,6,,0.2,6.0,0.3,15,n.d.,2,,
"Bell pepper, green, stewed (without addition of fat and salt)",,,1.0,3.2,0.4,25,0.1,0,0.2,,,3.1,0.0,2.5,0,,49,0.03,0.01,0.11,0.14,0.29,,21.8,0,121.6,0,0.92,,,6.6,160,7.7,,0.2,6.9,0.3,19,n.d.,2.5,,
"Bell pepper, red, raw",,,0.9,5.2,0.4,32,0.1,0,0.1,,,5.1,0.0,2.0,0,,152,0.03,0.03,0.9,0.16,0.27,,28.2,0,149.3,0,2.26,,,12,170,9,,0.3,3.0,0.4,20,n.d.,1,,
"Bell pepper, red, stewed (without addition of fat and salt)",,,1.1,6.4,0.4,39,0.1,0,0.2,,,6.2,0.0,2.5,0,,180,0.03,0.03,0.95,0.17,0.29,,22.2,0,143.4,0,2.97,,,13,170,11,,0.3,3.4,0.4,25,n.d.,1.3,,
Berliner pastry,,,8.4,45.8,12.8,336,6.8,4,0.9,,,17.1,0.6,2.2,104,,130,0.05,0.1,0.48,0.38,0.1,,14,0,0.2,1,0.78,,,16,110,38,,0.9,250.0,1.3,100,n.d.,4.1,,
Bernese alp cheese,,,27.1,0.0,38.3,453,n.d.,n.d.,n.d.,,,n.d.,1.6,0.0,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,n.d.,920,,n.d.,660.0,n.d.,n.d.,n.d.,n.d.,,
Bernese cheese for slicing,,,30.0,0.0,41.2,491,n.d.,n.d.,n.d.,,,n.d.,1.7,0.0,n.d.,,n.d.,n.d.,0.56,n.d.,0.43,n.d.,,n.d.,0.83,n.d.,0.8,n.d.,,,n.d.,n.d.,n.d.,,n.d.,690.0,n.d.,n.d.,n.d.,n.d.,,
Bernese tongue sausage,,,17.3,0.0,29.4,333,10.8,13.7,3,,,0,1.5,0.0,63,,7,0.53,0.2,4.95,0.54,0.31,,2.3,2.61,0,0,0.52,,,20,220,3.4,,2.4,610.0,1.3,100,n.d.,0.7,,
"Berries (average), cooked (without addition of sugar)",,,0.7,5.3,0.6,35,0,0,0.1,,,5,0.0,3.2,0,,1,0.01,0.02,0.31,0.13,0.03,,19.1,0,20.8,0,0.41,,,11,90,18,,0.1,0.7,0.2,20,0.5,1.3,,
"Berries (average), raw",,,0.7,6.3,0.5,40,0,0,0.1,,,5.9,0.0,3.7,0,,1,0.02,0.03,0.37,0.15,0.04,,36.3,0,49.4,0,0.39,,,12,140,18,,0.1,1.1,0.2,24,0.5,1.2,,
Biber (Filled ginger bread type),,,7.8,65.6,5.6,355,0.7,3,1.3,,,36.9,0.0,3.0,22,,8,0.08,0.12,0.35,0.24,0.11,,9.8,0.06,0.5,0.1,2.45,,,30,140,52,,0.8,6.2,1.3,97,2,2.7,,
"Bierwurst (coarse heat-treated, cured & smoked sausage, beef and pork)",,,15.6,0.0,25.4,291,9.4,11.8,2.6,,,0,1.4,0.0,63,,5,0.23,0.16,2.65,0.29,0.13,,1.6,1.52,0,0,0.43,,,13,120,2.9,,2.1,570.0,1.2,79,n.d.,0.7,,
"Birchermüesli, prepared (no sugar added)",,,2.6,11.1,3.1,86,1.1,1,0.7,,,8.2,0.0,1.5,5,,18,0.05,0.09,0.19,0.23,0.05,,9.4,0.09,4.7,0,0.31,,,19,160,59,,0.4,19.0,0.3,78,n.d.,5.8,,
"Birnenweggen, pastry with pear",,,4.9,57.2,10.4,363,5.9,2.5,0.9,,,33.5,0.8,6.9,25,,84,0.08,0.06,0.5,0.24,0.09,,15.8,0,0.7,0.2,0.44,,,32,320,64,,0.6,300.0,1.6,75,n.d.,2.2,,
Black forest cake,,,3.9,21.4,16.1,248,9.3,5,0.8,,,12,0.1,0.9,88,,199,0.03,0.1,0.19,0.28,0.04,,6,0,0.8,1,0.72,,,13,110,47,,0.5,51.0,0.7,77,n.d.,5.3,,
Black pudding,,,10.2,2.5,10.9,149,4.6,4.6,1,,,2.4,2.0,0.1,32,,35,0.05,0.12,0.38,0.39,0.19,,5.1,1.09,0.5,0,0.12,,,13,140,61,,1.6,790.0,30,64,n.d.,6.9,,
"Black salsify, raw",,,1.4,2.1,0.4,55,0.1,0,0.2,,,2,0.0,18.3,0,,9,0.14,0.04,0.35,0.17,0.09,,35.4,0,4.9,0,0.8,,,24,240,33,,0.4,3.0,1.2,82,0.2,2.5,,
"Black salsify, steamed (without addition of salt)",,,1.5,2.2,0.5,57,0.1,0,0.3,,,2.1,0.0,19.1,0,,9,0.12,0.04,0.31,0.16,0.09,,23.6,0,4.4,0,0.89,,,23,230,35,,0.4,2.7,1.1,86,0.2,2.6,,
"Blackberry pie, home-made (with sweet short pastry base)",,,3.2,22.3,11.7,215,5.7,3.9,1.2,,,10.2,0.1,3.6,19,,58,0.04,0.05,0.33,0.28,0.04,,11.6,0.05,6.2,0.1,1.15,,,18,160,30,,0.3,41.0,0.5,47,n.d.,1.9,,
"Blackberry pie, home-made, baked (with cake dough)",,,3.2,15.2,6.9,144,3,2.6,1,,,5.8,0.2,3.9,18,,18,0.03,0.06,0.33,0.32,0.04,,9.3,0.08,5.7,0.1,1.01,,,19,160,34,,0.4,89.0,0.6,50,n.d.,3.2,,
"Blackberry pie, home-made, baked (with puff pastry)",,,3.0,14.5,7.1,141,3,2.7,1,,,5.8,0.3,3.8,18,,19,0.03,0.05,0.33,0.31,0.02,,9.4,0.08,5.7,0.1,1.05,,,17,160,34,,0.3,110.0,0.4,42,n.d.,3.1,,
"Blackberry, fresh",,,1.1,6.5,0.7,47,0.1,0.2,0.4,,,6.1,0.0,5.2,0,,19,0.01,0.03,0.47,0.24,0.02,,16.1,0,10.7,0,0.6,,,20,200,31,,0.2,1.0,0.4,25,0,0.4,,
"Blanc battu with fruits, with sweetener",,,8.0,8.3,0.2,67,0.1,0,0,,,5.2,0.1,0.3,0,,4,0.03,0.34,0.28,0.37,0.04,,15.1,0.39,1.5,0,0.06,,,13,180,130,,0.5,48.0,0.1,140,n.d.,19,,
"Blanc battu, plain, low fat",,,7.8,3.9,0.0,47,0,0,0,,,3.9,0.1,0.0,1,,5,0.04,0.32,0.2,0.35,0.06,,24,0.36,0,0.1,0,,,12,140,130,,0.5,44.0,0.2,120,n.d.,10,,
